ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
DXB-SOU,DXB,SOU,B,19,Middle East,25,,UAE,UK,2565.676803,1
SOU-SOU,SOU,SOU,B,99,West Bound,70,,UK,UK,15208.60194,2
SOU-SOU,SOU,SOU,S,99,West Bound,64,,UK,UK,16631.07861,2
SOU-SOU,SOU,SOU,B,99,West Bound,62,,UK,UK,22414.86306,1
SYD-SIN,SYD,SIN,O,25,Southeast Asia,49,48,Australia - New South Wales,Singapore,3072.372514,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,39,,Australia - New South Wales,UK,7967.220537,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,51,,UK,USA - West Coast,3472.515719,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,24,,Australia - New South Wales,UK,9694.309092,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,37,,UK,USA - West Coast,4247.107853,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,35,,UK,USA - West Coast,2008.057396,2
SFO-SYD,SFO,SYD,B,20,South Pacific,38,19,USA - West Coast,Australia - New South Wales,5305.444661,1
SFO-SYD,SFO,SYD,I,20,South Pacific,18,,USA - West Coast,Australia - New South Wales,2496.160997,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,35,34,Australia - New South Wales,UK,7482.165123,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,34,,UK,USA - West Coast,1489.974097,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,14,13,Australia - Queensland,China - Southern,2221.000352,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,14,13,Australia - Queensland,China - Southern,2062.118716,2
SFO-SYD,SFO,SYD,O,20,South Pacific,47,15,USA - West Coast,Australia - New South Wales,2141.936834,2
