"","id","Hours","Day","Pride","Love","Hope","Gratitude","Joy","Satisfaction","Awe","Amusement","Alertness","Anxiety","Disdain","Offense","Guilt","Disgust","Fear","Embarrassment","Sadness","Anger"
"155",154,17,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"156",156,8,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
"157",156,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"158",156,9,7,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
"159",156,10,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"160",156,10,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
"161",156,11,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1
"162",156,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"163",156,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"164",156,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"165",156,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"166",156,14,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"167",156,15,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"168",156,16,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"169",156,16,7,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
"170",156,17,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"171",156,17,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"172",156,18,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
